Geschleicht;Land;Anrede;Name;Vorname;Strasse;Ort;PLZ;Email;Telefon;Geboren
Weiblich;German;Frau;Lena;Schäfer;Erlenweg 91;Berlens;1680;LenaSchafer@jourrapide.com;026 789 95 34;01.02.1988
Weiblich;German;Frau;Marina;Hahn;Via Schliffras 105;Geiss;6123;MarinaHahn@einrot.com;041 234 44 84;08.01.1955
Mänlich;German;Herr;Torsten;Faber;Pfaffacherweg 37;Schlosswil;3082;TorstenFaber@gustr.com;031 330 98 56;12/16/1940
Mänlich;German;Herr;David;Schwarz;Loorenstrasse 57;Cologna;7742;DavidSchwarz@einrot.com;081 225 70 67;04.01.1979
Mänlich;German;Herr;Tim;Ackerman;Via Verbano 131;Valcolla;6951;TimAckerman@jourrapide.com;091 695 42 65;8/19/1989
Weiblich;German;Frau;Silke;Frei;Studhaldenstrasse 62;Les Thioleyres;1607;SilkeFrei@einrot.com;026 527 55 56;11/20/1948
Mänlich;German;Herr;Frank;Eichmann;Untere Aegerten 126;Conches;1231;FrankEichmann@superrito.com;022 677 83 50;11/19/1955
Mänlich;German;Herr;René;Brandt;Lichtmattstrasse 120;Bussy-sur-Moudon;1514;ReneBrandt@dayrep.com;021 777 57 81;2/24/1932
Mänlich;German;Herr;Dennis;Theiss;Mänlichenberg 15;Prez-vers-Siviriez;1677;DennisTheiss@rhyta.com;026 440 86 52;06.11.1978
Mänlich;German;Herr;Dominik;Neudorf;Bahnhofplatz 68;Alterswilen;8573;DominikNeudorf@jourrapide.com;052 329 40 64;6/13/1986
Mänlich;German;Herr;Bernd;Hueber;Via Altisio 24;Soragno;6964;BerndHueber@einrot.com;091 769 58 78;4/27/1956
Mänlich;German;Herr;Benjamin;Weiss;Vallerstrasse 118;Pfyn;8505;BenjaminWeiss@dayrep.com;052 222 66 97;2/14/1962
Mänlich;German;Dr.;Wolfgang;Nussbaum;Casut 46;Lindau;8315;WolfgangNussbaum@superrito.com;044 516 66 13;02.06.1944
Mänlich;German;Herr;Swen;Reinhard;Pfaffacherweg 5;Schlieren;8952;SwenReinhard@armyspy.com;044 950 91 55;02.11.1974
Weiblich;German;Frau;Simone;Frey;Schulstrasse 38;Winterthur;8406;SimoneFrey@armyspy.com;052 734 22 53;1/28/1935
Weiblich;German;Frau;Jennifer;Unger;Postfach 94;Almens;7416;JenniferUnger@cuvox.de;081 244 15 77;3/19/1931
Mänlich;German;Herr;Leon;Amsel;Zürichstrasse 34;Auboranges;1673;LeonAmsel@superrito.com;026 446 67 71;07.03.1940
Mänlich;German;Herr;René;Ostermann;Loorenstrasse 20;Chézard-St. Martin;2054;ReneOstermann@teleworm.us;032 757 53 55;5/26/1965
Weiblich;German;Frau;Simone;Vogler;Clius 36;Obergoldbach;3434;SimoneVogler@gustr.com;034 771 91 10;02.08.1957
Mänlich;German;Herr;Michael;Hirsch;Höhenweg 131;Henggart;8444;MichaelHirsch@armyspy.com;052 625 23 76;1/21/1935
Mänlich;German;Herr;Leon;Himmel;Casa Posrclas 19;Eggerstanden;9050;LeonHimmel@rhyta.com;071 466 57 76;12.05.1964
Weiblich;German;Frau;Juliane;Klug;Via Muraccio 49;Stuckishaus;3037;JulianeKlug@fleckens.hu;031 276 28 82;11/13/1953
Weiblich;German;Frau;Lena;Eisenberg;Werkstrasse 92;Cernier;2053;LenaEisenberg@armyspy.com;032 785 65 93;6/21/1941
Mänlich;German;Herr;Martin;Hertzog;Mülhauserstrasse 16;Murten;3280;MartinHertzog@jourrapide.com;032 905 94 36;01.09.1980
Mänlich;German;Herr;Wolfgang;Bosch;Binzmühlestrasse 30;Sant'Antonio;7745;WolfgangBosch@superrito.com;081 535 75 46;4/26/1983
Mänlich;German;Herr;Tom;Bohm;Via Verbano 143;Unterschlatt;8252;TomBohm@jourrapide.com;044 237 69 20;9/25/1950
Mänlich;German;Herr;Peter;Herz;Piazza Rezzonico 105;Villars-sur-Fontenais;2903;PeterHerz@teleworm.us;032 619 67 71;12/16/1953
Weiblich;German;Frau;Daniela;Schultz;Via Franscini 88;Troistorrents;1872;DanielaSchultz@teleworm.us;024 671 46 26;12/29/1965
Mänlich;German;Herr;Steffen;Klein;Forrenböhlstrasse 91;Jucher;3036;SteffenKlein@jourrapide.com;031 448 97 45;4/28/1990
Weiblich;German;Frau;Nadine;Schweizer;Kappelergasse 44;Aerdhuuse;9315;NadineSchweizer@dayrep.com;071 950 62 14;11.09.1945
Weiblich;German;Frau;Martina;Schroder;Forrenböhlstrasse 49;Kaltacker;3413;MartinaSchroder@teleworm.us;034 783 97 17;11/29/1994
Weiblich;German;Frau;Maria;Schultheiss;Via Stazione 16;St-Barthélemy;1040;MariaSchultheiss@gustr.com;021 451 29 54;06.07.1943
Mänlich;German;Herr;Klaus;Herman;Via Altisio 109;Sonvilier;2615;KlausHerman@dayrep.com;032 417 23 46;5/27/1986
Mänlich;German;Herr;Bernd;Weiß;Möhe 2;Jegenstorf;3303;BerndWeiss@fleckens.hu;032 274 65 13;4/28/1987
Mänlich;German;Herr;Dieter;Dietrich;Forrenböhlstrasse 5;Jeuss;1793;DieterDietrich@gustr.com;026 299 63 20;10/14/1984
Mänlich;German;Herr;Ralph;Kuefer;Via Albarelle 71;Sternenberg;8499;RalphKuefer@superrito.com;052 905 29 52;08.09.1957
Mänlich;German;Herr;Peter;Pfeiffer;Studhaldenstrasse 113;Les Evouettes;1897;PeterPfeiffer@einrot.com;024 305 63 25;12/18/1963
Mänlich;German;Herr;Dieter;Vogt;Untere Bahnhofstrasse 40;Casima;6875;DieterVogt@jourrapide.com;091 345 73 44;3/27/1975
Weiblich;German;Frau;Yvonne;Maur;Hauptstrasse 134;Montbrelloz;1475;YvonneMaur@gustr.com;024 366 84 44;7/13/1954
Weiblich;German;Frau;Sara;Theiss;Kirchstrasse 122;La Punt-Chamues-ch;7522;SaraTheiss@armyspy.com;081 404 57 15;4/26/1947
Weiblich;German;Frau;Julia;Ritter;Binzmühlestrasse 150;Salenstein;8268;JuliaRitter@dayrep.com;044 987 72 20;12.06.1954
Weiblich;German;Frau;Anja;Krüger;Tösstalstrasse 82;Wallikon;8330;AnjaKruger@gustr.com;044 331 14 92;06.11.1965
Mänlich;German;Herr;Klaus;Austerlitz;Brunnenstrasse 125;Rueras;7189;KlausAusterlitz@superrito.com;081 291 88 73;07.02.1970
Weiblich;German;Frau;Anja;Neumann;Mülhauserstrasse 25;Muralto;6602;AnjaNeumann@gustr.com;091 440 89 44;8/29/1930
Mänlich;German;Herr;Leon;Shuster;Kronwiesenweg 46;Kurzrickenbach;8280;LeonShuster@cuvox.de;044 351 52 70;05.03.1957
Weiblich;German;Frau;Claudia;Jager;Hauptstrasse 131;Moncor;1752;ClaudiaJager@armyspy.com;026 411 91 64;9/25/1978
Weiblich;German;Frau;Manuela;Ebersbach;Breitenstrasse 74;Basel;4011;ManuelaEbersbach@armyspy.com;061 550 95 84;08.08.1982
Weiblich;German;Frau;Lea;Ehrlichmann;Püntstrasse 99;Worben;3252;LeaEhrlichmann@fleckens.hu;032 462 22 21;7/13/1944
Mänlich;German;Dr.;Maik;Gerber;Tösstalstrasse 102;Wangen;8855;MaikGerber@gustr.com;055 641 55 76;07.07.1990
Mänlich;German;Herr;Mike;Eisenberg;Breitenstrasse 81;Basel;4086;MikeEisenberg@rhyta.com;061 817 72 56;1/16/1956
Mänlich;German;Herr;Lucas;Gloeckner;Wingertweg 128;Emmenmatt;3543;LucasGloeckner@dayrep.com;035 382 22 41;12.03.1977
Mänlich;German;Herr;Mario;Kluge;Wolfensbergstrasse 89;Riniken;5223;MarioKluge@rhyta.com;062 344 83 70;7/24/1966
Mänlich;German;Herr;Maximilian;Ritter;Betburweg 106;Lömmenschwil;9308;MaximilianRitter@jourrapide.com;071 272 76 30;12/16/1993
Weiblich;German;Frau;Anna;Krüger;Bahnhofstrasse 133;Glion;1823;AnnaKruger@teleworm.us;024 860 81 35;08.05.1954
Mänlich;German;Herr;Lucas;Faust;Wolfensbergstrasse 1;Rieden;8739;LucasFaust@cuvox.de;044 289 49 32;02.08.1980
Mänlich;German;Herr;Tim;Faber;Spinatsch 6;Mossel;1675;TimFaber@superrito.com;026 741 64 45;07.05.1936
Mänlich;German;Herr;Mike;Gersten;Schulstrasse 104;Wolfenschiessen;6386;MikeGersten@rhyta.com;041 717 90 93;12/19/1953
Weiblich;German;Frau;Maria;Gottlieb;Jakobstrasse 20;Oetwil an der Limmat;8955;MariaGottlieb@dayrep.com;044 419 57 89;1/28/1960
Mänlich;German;Herr;Kevin;Eichel;Üerklisweg 88;Brot-Plamboz;2318;KevinEichel@armyspy.com;032 955 53 62;10.08.1944
Weiblich;German;Frau;Kristin;Austerlitz;Forrenböhlstrasse 96;Kartause-Ittingen;8532;KristinAusterlitz@gustr.com;052 689 40 17;05.03.1946
Mänlich;German;Herr;Martin;Bumgarner;Rosenweg 58;Längenbühl;3636;MartinBumgarner@gustr.com;033 248 37 29;11/27/1995
Weiblich;German;Frau;Nadine;Dietrich;Bösch 79;Cuarnens;1148;NadineDietrich@cuvox.de;021 995 87 33;03.08.1973
Weiblich;German;Frau;Julia;Reinhardt;Höhenweg 111;Heisch;8915;JuliaReinhardt@armyspy.com;044 443 83 39;02.01.1947
Weiblich;German;Frau;Lea;Mauer;Tösstalstrasse 32;Waltenschwil;5622;LeaMauer@gustr.com;062 273 81 24;2/21/1952
Weiblich;German;Frau;Doreen;Freitag;Piazza Indipendenza 40;Thusis;7431;DoreenFreitag@einrot.com;081 672 10 25;3/18/1957
Mänlich;German;Herr;Luca;Weiss;Höhenweg 96;Herbetswil;4715;LucaWeiss@superrito.com;078 296 42 89;2/29/1980
Weiblich;German;Frau;Kathrin;Eiffel;Mattenstrasse 8;Silvaplana;7513;KathrinEiffel@dayrep.com;081 974 55 51;2/14/1982
Mänlich;German;Herr;Jan;Schroeder;Bösch 108;Cottens;1741;JanSchroeder@teleworm.us;026 456 79 69;5/28/1989
Weiblich;German;Frau;Laura;Bergmann;Mattenstrasse 150;Sigigen;6019;LauraBergmann@gustr.com;041 583 94 14;5/26/1972
Mänlich;German;Herr;Tom;Grunwald;Spinatsch 118;Mühlebach;8580;TomGrunwald@jourrapide.com;052 860 58 42;06.09.1933
Mänlich;German;Herr;Phillipp;Unger;Via Albarelle 62;Steinen;6422;PhillippUnger@teleworm.us;041 751 14 25;7/25/1969
Weiblich;German;Frau;Jennifer;Bar;Via Verbano 79;Uzwil;9240;JenniferBar@armyspy.com;071 280 97 34;6/15/1995
Weiblich;German;Frau;Sophie;Nadel;Bösch 65;Corticiasca;6958;SophieNadel@teleworm.us;091 240 97 62;05.08.1933
Mänlich;German;Herr;Lukas;Cole;Obere Haltenstrasse 52;Lussery-Villars;1307;LukasCole@fleckens.hu;021 506 57 63;5/14/1996
Weiblich;German;Frau;Brigitte;Busch;Plattenstrasse 120;Ramersberg;6060;BrigitteBusch@teleworm.us;041 772 89 78;3/17/1930
Weiblich;German;Frau;Silke;Scholz;Rasenstrasse 7;Hinterthal;6436;SilkeScholz@armyspy.com;041 232 49 70;12/17/1980
Weiblich;German;Frau;Sandra;Freeh;Scheidweg 66;Gümligen;3073;SandraFreeh@gustr.com;031 806 47 73;03.10.1953
Mänlich;German;Herr;Dirk;Zimmerman;Neubertbogen 69;Rongellen;7430;DirkZimmerman@cuvox.de;081 385 49 64;3/22/1935
Weiblich;German;Frau;Anja;Grunwald;Damunt 91;Oberried;3145;AnjaGrunwald@rhyta.com;031 693 20 93;7/26/1982
Mänlich;German;Herr;Mike;Schulz;Scheidweg 68;Gwatt;3465;MikeSchulz@armyspy.com;034 555 20 84;10/13/1952
Weiblich;German;Frau;Tanja;Kluge;Sondanella 91;Grissenberg;3266;TanjaKluge@teleworm.us;032 540 83 98;09.06.1992
Mänlich;German;Herr;Jürgen;Richter;Via Schliffras 109;Fürstenaubruck;7413;JurgenRichter@cuvox.de;081 502 46 69;11/19/1930
Mänlich;German;Herr;Matthias;Holtzmann;Gartenhof 133;Arosio;6939;MatthiasHoltzmann@jourrapide.com;091 658 85 37;8/23/1970
Mänlich;German;Herr;Klaus;Vogel;Mänlichenberg 69;Raat;8175;KlausVogel@jourrapide.com;044 509 96 62;3/21/1935
Mänlich;German;Herr;Kevin;Vogel;Gartenhof 132;Asp;5025;KevinVogel@armyspy.com;062 927 60 81;10.12.1964
Mänlich;German;Herr;Benjamin;Kirsch;Via Franscini 96;Ueberstorf;3182;BenjaminKirsch@fleckens.hu;031 875 64 53;3/19/1980
Mänlich;German;Herr;Erik;Schäfer;Schuetzenweg 125;Meikirch;3045;ErikSchafer@dayrep.com;031 231 35 59;11/15/1937
Mänlich;German;Herr;Mathias;Pabst;Damunt 48;Oberrohrdorf;5452;MathiasPabst@teleworm.us;056 981 76 62;11/26/1983
Weiblich;German;Frau;Lena;Brauer;Mühle 94;Schweikhof;3462;LenaBrauer@jourrapide.com;034 719 29 28;10/18/1962
Mänlich;German;Herr;Mathias;Hueber;Scheidweg 11;Hagenbuch;8523;MathiasHueber@einrot.com;052 555 92 90;4/28/1996
Weiblich;German;Frau;Annett;Maur;Via Schliffras 115;Gebertingen;8725;AnnettMaur@teleworm.us;044 272 75 60;7/18/1966
Mänlich;German;Herr;Dieter;Gottschalk;Üerklisweg 77;Buch;9556;DieterGottschalk@cuvox.de;071 363 13 26;11/27/1955
Mänlich;German;Herr;Dominik;Bosch;Via Muraccio 97;Sulzbach;8614;DominikBosch@teleworm.us;052 440 26 70;09.04.1989
Mänlich;German;Herr;Eric;Hirsch;Erlenweg 112;Bernhardzell;9304;EricHirsch@cuvox.de;071 997 92 66;05.06.1966
Mänlich;German;Herr;Tim;Koch;Tösstalstrasse 20;Watt;8105;TimKoch@fleckens.hu;044 873 87 42;09.01.1963
Weiblich;German;Frau;Ursula;Weissmuller;Via delle Vigne 142;Vullierens;1115;UrsulaWeissmuller@gustr.com;021 793 86 56;9/17/1942
Mänlich;German;Herr;Kevin;Kuster;Stradun 138;Grandsivaz;1775;KevinKuster@einrot.com;026 218 28 67;04.07.1933
Mänlich;German;Herr;Christian;Schultz;Erlenweg 48;Bern;3015;ChristianSchultz@cuvox.de;031 538 57 76;09.03.1972
Mänlich;German;Herr;Luca;Schulz;Kappelergasse 120;Aeschlen;3656;LucaSchulz@jourrapide.com;033 906 23 75;07.07.1934
Mänlich;German;Herr;Erik;Metzger;In Stierwisen 138;Miéville;1904;ErikMetzger@jourrapide.com;027 660 33 62;9/27/1940
Weiblich;German;Frau;Angelika;Schwarz;Via Gabbietta 61;Valens;7317;AngelikaSchwarz@dayrep.com;081 361 63 50;12.02.1936
Weiblich;German;Frau;Kristin;Baumgaertner;Wiesenstrasse 21;Baltschieder;3937;KristinBaumgaertner@jourrapide.com;027 636 80 84;5/20/1932
Weiblich;German;Frau;Marina;Frankfurter;Fortunastrasse 143;Essert-sous-Champvent;1443;MarinaFrankfurter@jourrapide.com;024 939 21 36;1/31/1930
Mänlich;German;Herr;Mike;Baecker;Studhaldenstrasse 32;Les Cullayes;1080;MikeBaecker@jourrapide.com;021 407 70 21;8/26/1939
Mänlich;German;Herr;Jürgen;Amsel;Rägetenstrasse 107;Horben;8308;JurgenAmsel@superrito.com;044 311 67 39;3/14/1951
Weiblich;German;Frau;Juliane;Faerber;Neubertbogen 97;Romairon;1423;JulianeFaerber@superrito.com;024 612 42 54;12.04.1980
Mänlich;German;Herr;Ralph;Klein;Via Stazione 53;Staad;9422;RalphKlein@jourrapide.com;071 512 16 21;11.06.1967
Weiblich;German;Frau;Birgit;Ritter;Mänlichenberg 135;Pregny;1292;BirgitRitter@cuvox.de;022 217 55 72;12/30/1959
Weiblich;German;Frau;Christine;Frueh;Betburweg 22;Losone;6616;ChristineFrueh@armyspy.com;091 536 54 72;1/23/1964
Weiblich;German;Frau;Monika;Eisenhauer;Mänlichenberg 118;Privilasco;7741;MonikaEisenhauer@jourrapide.com;081 873 56 30;5/16/1939
Weiblich;German;Frau;Simone;Ostermann;Untere Bahnhofstrasse 60;Campascio;7748;SimoneOstermann@einrot.com;081 285 40 62;04.09.1937
Mänlich;German;Dr.;Felix;Peters;Brunnenstrasse 18;Rüegsau;3417;FelixPeters@dayrep.com;034 315 23 51;10/20/1960
Mänlich;German;Herr;Jens;Kaiser;Casa Posrclas 122;Eichholz;3254;JensKaiser@armyspy.com;032 260 86 50;12.01.1967
Weiblich;German;Frau;Anna;Rothstein;Bösch 88;Crassier;1263;AnnaRothstein@superrito.com;022 631 77 82;10/26/1931
Weiblich;German;Frau;Manuela;Hoffmann;Via Pestariso 6;St. Chrischona;4126;ManuelaHoffmann@einrot.com;061 943 35 49;12/22/1941
Mänlich;German;Herr;Ulrich;Finkel;Glennerstrasse 111;Gingins;1276;UlrichFinkel@gustr.com;022 277 32 29;03.04.1952
Mänlich;German;Herr;Eric;Gottlieb;Postfach 82;Albinen;3955;EricGottlieb@armyspy.com;027 493 56 10;09.01.1993
Mänlich;German;Herr;Eric;Fruehauf;Üerklisweg 37;Brigerbad;3900;EricFruehauf@jourrapide.com;027 924 54 39;1/23/1955
Weiblich;German;Frau;Anne;Hertzog;Postfach 88;Agarone;6597;AnneHertzog@armyspy.com;091 381 40 64;8/15/1941
Mänlich;German;Herr;Daniel;Kaiser;Hasenbühlstrasse 89;Boningen;4618;DanielKaiser@armyspy.com;062 714 15 15;9/24/1964
Mänlich;German;Herr;Phillipp;Gerste;Mattenstrasse 109;Sisseln;4334;PhillippGerste@fleckens.hu;049 742 14 96;4/30/1995
Weiblich;German;Frau;Jennifer;Kuefer;Via Camischolas sura 29;Dittingen;4243;JenniferKuefer@superrito.com;061 929 66 75;4/22/1994
Weiblich;German;Frau;Mandy;Hoffmann;Wolfensbergstrasse 35;Ried bei  Kerzers;3216;MandyHoffmann@dayrep.com;032 700 20 26;06.09.1953
Mänlich;German;Dr.;Kristian;Sommer;Brucknerweg 113;Hauptikon;8926;KristianSommer@fleckens.hu;044 701 95 14;1/21/1941
Mänlich;German;Dr.;Mike;Werner;Jakobstrasse 44;Oftershausen;8573;MikeWerner@gustr.com;052 574 51 62;03.06.1976
Mänlich;German;Herr;Ulrich;Bader;Schulstrasse 92;Wohlenschwil;5512;UlrichBader@superrito.com;056 436 29 11;1/26/1954
Weiblich;German;Frau;Anna;Thalberg;Werkstrasse 40;Champoussin;1873;AnnaThalberg@fleckens.hu;024 766 25 78;5/17/1969
Weiblich;German;Frau;Julia;Beckenbauer;Plattenstrasse 21;Rebeuvelier;2832;JuliaBeckenbauer@superrito.com;032 739 56 58;02.05.1940
Weiblich;German;Frau;Marina;Kuefer;Bahnhofplatz 41;Altreu;2545;MarinaKuefer@einrot.com;032 767 99 23;07.10.1943
Mänlich;German;Herr;Paul;Schultz;Lungolago 145;Tartegnin;1180;PaulSchultz@rhyta.com;021 256 72 67;7/25/1933
Weiblich;German;Frau;Johanna;Bach;Via Franscini 72;Trimstein;3083;JohannaBach@gustr.com;031 969 51 38;01.03.1977
Weiblich;German;Frau;Ute;Jaeger;Bösch 64;Cousset;1774;UteJaeger@jourrapide.com;026 306 52 35;04.02.1961
Weiblich;German;Frau;Marie;Zimmermann;Via Camischolas sura 101;Dippishausen;8573;MarieZimmermann@dayrep.com;052 342 83 92;5/25/1984
Mänlich;German;Herr;Luca;Nussbaum;Langwiesstrasse 122;Wiesholz;8262;LucaNussbaum@cuvox.de;044 279 56 72;10.10.1933
Mänlich;German;Herr;Steffen;Fried;Rägetenstrasse 21;Holziken;5043;SteffenFried@jourrapide.com;062 939 18 79;02.02.1968
Weiblich;German;Frau;Anne;Hartmann;Bahnhofplatz 8;Aminona;3963;AnneHartmann@superrito.com;027 634 32 66;3/30/1936
